Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MACD,Signal_Line
2024-02-28 00:00:00-05:00,137.4019042655953,137.511507557848,134.92090778300894,135.8874053955078,37328600,0.0,0.0,0.0,0.0
2024-02-29 00:00:00-05:00,136.7841540649648,138.35844905187955,135.90732769157543,137.95989990234375,42133000,0.0,0.0,0.16532719712651556,0.033065439425303114
2024-03-01 00:00:00-05:00,137.9299871846384,138.36840034880373,136.42544673822982,136.6446533203125,31119500,0.0,0.0,0.1880530265407856,0.06406295684839962
2024-03-04 00:00:00-05:00,135.17000103766665,135.17000103766665,131.43354600148837,132.86834716796875,55999400,0.0,0.0,-0.09752868651582958,0.03174462817555378
2024-03-05 00:00:00-05:00,131.40365605755701,132.75874436377524,130.1980198718621,132.1907958984375,40194800,0.0,0.0,-0.3742132787989476,-0.04944695321934651
2024-03-06 00:00:00-05:00,132.63915773615787,133.09750287827276,130.37736805851614,130.9253692626953,35318600,0.0,0.0,-0.687670132256045,-0.17709158902668623
2024-03-07 00:00:00-05:00,132.31035434571908,134.4525976438854,131.1346238166757,133.89462280273438,37738200,0.0,0.0,-0.6885557591807867,-0.2793844230575063
2024-03-08 00:00:00-05:00,133.72523591626486,137.59121089480263,133.51598775330365,134.9208984375,39343100,0.0,0.0,-0.5995346953464207,-0.3434144775152892
2024-03-11 00:00:00-04:00,135.6382987137455,138.59757218986644,135.6382987137455,137.1727294921875,32437800,0.0,0.0,-0.3433232968646962,-0.3433962413851706
2024-03-12 00:00:00-04:00,136.53504899669008,138.87656692228538,136.53504899669008,137.99974060058594,27563400,0.0,0.0,-0.07270295838864627,-0.2892575847858658
2024-03-13 00:00:00-04:00,138.4979249071936,140.58037207166473,138.48796650102636,139.28506469726562,23347200,0.0,0.0,0.2426830234389854,-0.18286946314089556
2024-03-14 00:00:00-04:00,140.68002514056542,143.07135027588964,139.95266615248607,142.5831298828125,42753400,0.0,0.0,0.7501082032229078,0.003726070131865128
