Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_50,RSI
2024-02-28 00:00:00-05:00,181.6522565198894,182.25939032452453,179.28345207788615,180.5673828125,48953900,0.0,0.0,,,180.5673828125,
2024-02-29 00:00:00-05:00,180.41808835882694,181.71198177710176,178.6862603817135,179.90052795410156,136682600,0.0,0.0,,,180.5412316415824,
2024-03-01 00:00:00-05:00,178.7061901764464,179.6815803178056,176.54639012704013,178.815673828125,73488000,0.0,0.0,,,180.47356270772133,
2024-03-04 00:00:00-05:00,175.3221528407019,176.0686281128373,172.9732433768994,174.277099609375,81510100,0.0,0.0,,,180.23056415484498,
2024-03-05 00:00:00-05:00,169.95748724050745,171.2314705105848,168.82284541599856,169.32049560546875,95132400,0.0,0.0,,,179.80271832937925,
2024-03-06 00:00:00-05:00,170.256065044738,170.43522699407845,167.88724549652,168.32518005371094,68587700,0.0,0.0,,,179.35261878915696,
2024-03-07 00:00:00-05:00,168.35505375316498,169.92763018116116,167.6981670423948,168.2057647705078,71765100,0.0,0.0,,,178.91548725901387,
2024-03-08 00:00:00-05:00,168.20576217934803,172.8836708711805,168.14604658720506,169.92762756347656,76114600,0.0,0.0,,,178.56302217291437,
2024-03-11 00:00:00-04:00,172.12725037151972,173.56048535052068,171.2414336396481,171.93814086914062,60139500,0.0,0.0,,,178.3032229060997,
2024-03-12 00:00:00-04:00,172.3362371923594,173.2121062975323,170.20629520329734,172.41586303710938,59825400,0.0,0.0,,,178.07234604849225,
2024-03-13 00:00:00-04:00,171.9580519129805,172.37607625258147,169.95748841772314,170.3257598876953,52488700,0.0,0.0,,,177.76855835591198,
2024-03-14 00:00:00-04:00,172.0973925529764,173.49080701178275,171.2414336176872,172.1869659423828,72913500,0.0,0.0,,,177.54967237891083,
2024-03-15 00:00:00-04:00,170.3655638276482,171.80874633789062,169.48969463541124,171.80874633789062,121664700,0.0,0.0,,,177.32453802436103,
2024-03-18 00:00:00-04:00,174.7448914522954,176.87483361469177,172.70452267737835,172.90357971191406,75604200,0.0,0.0,,,177.1511671101474,32.57916040886971
2024-03-19 00:00:00-04:00,173.52064400091257,175.77997984762692,172.21680308785983,175.25247192382812,55215200,0.0,0.0,,,177.07670847538978,39.08417070308973
2024-03-20 00:00:00-04:00,174.89417408943874,177.83030700683594,174.2671300256647,177.83030700683594,53423100,0.0,0.0,,,177.10626135897593,46.05761575163741
2024-03-21 00:00:00-04:00,176.2179350177799,176.65586961417029,170.03711298613993,170.5646209716797,106181300,0.0,0.0,,,176.84972644182704,37.28133289615985
2024-03-22 00:00:00-04:00,170.95279171103329,172.23673773536032,169.26078406375387,171.47035217285156,71106600,0.0,0.0,,,176.63877058814174,45.12784109721115
2024-03-25 00:00:00-04:00,169.76839047714014,171.13194711675717,168.65364374159117,170.0470733642578,54288300,0.0,0.0,,,176.38027265779337,51.43759415748112
2024-03-26 00:00:00-04:00,169.20106023000122,170.61438491064948,168.78303590364706,168.9124298095703,57388400,0.0,0.0,,,176.0874160755101,51.155551125165594
2024-03-27 00:00:00-04:00,169.609133760084,172.78414425918754,169.31054062211945,172.49549865722656,60273300,0.0,0.0,,,175.94655656891075,57.428471774491875
2024-03-28 00:00:00-04:00,170.94283813483634,171.4205780589011,169.70866021166748,170.67410278320312,65672700,0.0,0.0,,,175.73979367535358,51.28821987557294
2024-04-01 00:00:00-04:00,170.38547862745995,170.4451942217802,168.68350825393796,169.23092651367188,46240500,0.0,0.0,,,175.48454398273861,45.23474942549482
2024-04-02 00:00:00-04:00,168.28537106183597,168.54414366405445,167.43935975957754,168.04649353027344,49329500,0.0,0.0,,,175.1928557297008,42.49571653274224
2024-04-03 00:00:00-04:00,167.99673277562965,169.8778497555363,167.78772821512752,168.85269165039062,47691700,0.0,0.0,,,174.94422184423766,47.35331935134542
2024-04-04 00:00:00-04:00,169.48968886138192,171.11203328162168,168.026611328125,168.026611328125,53704400,0.0,0.0,,,174.67294300046854,42.236253350775115
2024-04-05 00:00:00-04:00,168.79298281447828,169.5892261323792,168.15599119757314,168.7830352783203,42055200,0.0,0.0,,,174.44196622705098,44.4322334242889
2024-04-08 00:00:00-04:00,168.23561647794648,168.40481571452685,167.4493358859462,167.65834045410156,37425500,0.0,0.0,,,174.17594168693532,40.35856126730541
2024-04-09 00:00:00-04:00,167.90716183961618,169.2806811483862,167.55881583801002,168.8726043701172,42451200,0.0,0.0,,,173.96796767451107,37.76251652938763
2024-04-10 00:00:00-04:00,168.0066808175879,168.2953112001811,166.32462100940634,166.99147033691406,49709300,0.0,0.0,,,173.6943795436249,28.63865295532105
2024-04-11 00:00:00-04:00,167.54885233902874,174.63540094951088,167.36970557110288,174.2173614501953,91070300,0.0,0.0,,,173.71488863800022,57.210187138490674
2024-04-12 00:00:00-04:00,173.44102962389059,177.52176704196785,173.39127675717174,175.72027587890625,101593300,0.0,0.0,,,173.7935312748985,58.19575315547222
2024-04-15 00:00:00-04:00,174.53586805138283,175.7999037342719,171.68930847441092,171.87841796875,73531800,0.0,0.0,,,173.71842879230445,53.230320370136106
2024-04-16 00:00:00-04:00,170.94284143183614,172.94338974194338,167.47920033817573,168.583984375,73711200,0.0,0.0,,,173.51707803084153,49.46167016549797
