Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment_Score,Ticker
181.6522565198894,182.25939032452453,179.28345207788615,180.5673828125,48953900,0.0,0.0,0.0,AAPL
180.41808835882694,181.71198177710176,178.6862603817135,179.90052795410156,136682600,0.0,0.0,0.0,AAPL
178.7061901764464,179.6815803178056,176.54639012704013,178.815673828125,73488000,0.0,0.0,0.0,AAPL
175.32213749041347,176.0686126971914,172.97322823226915,174.27708435058594,81510100,0.0,0.0,0.0,AAPL
169.95748724050745,171.2314705105848,168.82284541599856,169.32049560546875,95132400,0.0,0.0,0.0,AAPL
170.256065044738,170.43522699407845,167.88724549652,168.32518005371094,68587700,0.0,0.0,0.0,AAPL
168.35505375316498,169.92763018116116,167.6981670423948,168.2057647705078,71765100,0.0,0.0,0.0,AAPL
168.20576217934803,172.8836708711805,168.14604658720506,169.92762756347656,76114600,0.0,0.0,0.0,AAPL
172.12725037151972,173.56048535052068,171.2414336396481,171.93814086914062,60139500,0.0,0.0,0.0,AAPL
172.3362371923594,173.2121062975323,170.20629520329734,172.41586303710938,59825400,0.0,0.0,0.0,AAPL
171.95803650796105,172.37606081011293,169.95747319192603,170.32574462890625,52488700,0.0,0.0,0.0,AAPL
172.0973925529764,173.49080701178275,171.2414336176872,172.1869659423828,72913500,0.0,0.0,0.0,AAPL
170.3655638276482,171.80874633789062,169.48969463541124,171.80874633789062,121664700,0.0,0.0,0.0,AAPL
174.7448914522954,176.87483361469177,172.70452267737835,172.90357971191406,75604200,0.0,0.0,0.0,AAPL
173.52064400091257,175.77997984762692,172.21680308785983,175.25247192382812,55215200,0.0,0.0,0.0,AAPL
174.89417408943874,177.83030700683594,174.2671300256647,177.83030700683594,53423100,0.0,0.0,0.0,AAPL
176.2179350177799,176.65586961417029,170.03711298613993,170.5646209716797,106181300,0.0,0.0,0.0,AAPL
170.95279171103329,172.23673773536032,169.26078406375387,171.47035217285156,71106600,0.0,0.0,0.0,AAPL
169.76839047714014,171.13194711675717,168.65364374159117,170.0470733642578,54288300,0.0,0.0,0.0,AAPL
169.20106023000122,170.61438491064948,168.78303590364706,168.9124298095703,57388400,0.0,0.0,0.0,AAPL
169.60914876354798,172.78415954350993,169.31055559917013,172.49551391601562,60273300,0.0,0.0,0.0,AAPL
170.94283813483634,171.4205780589011,169.70866021166748,170.67410278320312,65672700,0.0,0.0,0.0,AAPL
170.38546326457012,170.4451788535061,168.68349304450714,169.2309112548828,46240500,0.0,0.0,0.0,AAPL
168.28537106183597,168.54414366405445,167.43935975957754,168.04649353027344,49329500,0.0,0.0,0.0,AAPL
167.99673277562965,169.8778497555363,167.78772821512752,168.85269165039062,47691700,0.0,0.0,0.0,AAPL
169.48968886138192,171.11203328162168,168.026611328125,168.026611328125,53704400,0.0,0.0,0.0,AAPL
168.79298281447828,169.5892261323792,168.15599119757314,168.7830352783203,42055200,0.0,0.0,0.0,AAPL
168.23561647794648,168.40481571452685,167.4493358859462,167.65834045410156,37425500,0.0,0.0,0.0,AAPL
167.90716183961618,169.2806811483862,167.55881583801002,168.8726043701172,42451200,0.0,0.0,0.0,AAPL
168.0066961691415,168.29532657810816,166.3246362072623,166.99148559570312,49709300,0.0,0.0,0.0,AAPL
167.5488670137579,174.63541624491384,167.36972023014152,174.21737670898438,91070300,0.0,0.0,0.0,AAPL
173.44102962389059,177.52176704196785,173.39127675717174,175.72027587890625,101593300,0.0,0.0,0.0,AAPL
174.53585255667426,175.7998881273465,171.68929323241036,171.87840270996094,73531800,0.0,0.0,0.0,AAPL
170.94284143183614,172.94338974194338,167.47920033817573,168.583984375,73711200,0.0,0.0,0.0,AAPL
168.81289870293196,169.84800441976404,167.21046447753906,167.21046447753906,50901200,0.0,0.0,0.0,AAPL
167.24031189258443,167.8474456964944,165.7672716683895,166.2549591064453,43122900,0.0,0.0,0.0,AAPL
165.42888374733738,165.6179780634261,163.3088890664717,164.2245635986328,67772100,0.0,0.0,0.0,AAPL
164.74210446317437,166.4739172082034,163.99562926284756,165.0605926513672,48116400,0.0,0.0,0.0,AAPL
164.57291251221173,166.26492000363532,164.14492548116624,166.11561584472656,49537800,0.0,0.0,0.0,AAPL
165.75730653407012,168.50434510258808,165.42887079721268,168.2256622314453,48251800,0.0,0.0,0.0,AAPL
168.73327450279362,169.80820075027214,167.3597550998357,169.09158325195312,50558300,0.0,0.0,0.0,AAPL
169.081624768213,170.53475474394267,168.38490238817732,168.5043487548828,44838400,0.0,0.0,0.0,AAPL
172.55520693212748,175.20270935632288,172.28648678772151,172.68460083007812,68169400,0.0,0.0,0.0,AAPL
172.51541154910535,174.1676137755898,169.20105955998108,169.52951049804688,65934800,0.0,0.0,0.0,AAPL
168.78303163206596,171.89832652202932,168.31523926242042,168.5043487548828,50383100,0.0,0.0,0.0,AAPL
171.69926693100732,172.6049939419865,170.08688513916925,172.21682739257812,94214900,0.0,0.0,0.0,AAPL
185.7727942523785,186.12115543095717,181.80155578938326,182.51817321777344,163224100,0.0,0.0,0.0,AAPL
181.4930249418685,183.3343214775735,179.5720873686165,180.8560333251953,78569700,0.0,0.0,0.0,AAPL
182.58785409480518,184.0310366275269,180.46787458450643,181.54278564453125,77305800,0.0,0.0,0.0,AAPL
181.9906634485607,182.20963072654146,180.5972339353124,181.8811798095703,45057100,0.0,0.0,0.0,AAPL
181.70204263297254,183.792179594264,181.2541604804327,183.70260620117188,48983000,0.0,0.0,0.0,AAPL
184.28063783698332,184.47000383075684,181.51992740382525,182.4368438720703,50759500,0.25,0.0,0.0,AAPL
