Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_50,RSI,EMA_12,EMA_26,MACD,Signal_Line,SMA_20,StdDev,Upper_Band,Lower_Band
2024-02-28 00:00:00-05:00,181.6522565198894,182.25939032452453,179.28345207788615,180.5673828125,48953900,0.0,0.0,,,180.5673828125,,180.5673828125,180.5673828125,0.0,0.0,,,,
2024-02-29 00:00:00-05:00,180.41808835882694,181.71198177710176,178.6862603817135,179.90052795410156,136682600,0.0,0.0,,,180.5412316415824,,180.46478975736179,180.51798615632234,-0.053196398960551505,-0.010639279792110302,,,,
2024-03-01 00:00:00-05:00,178.7061901764464,179.6815803178056,176.54639012704013,178.815673828125,73488000,0.0,0.0,,,180.47356270772133,,180.21107961440228,180.39188894682624,-0.18080933242396213,-0.04467329031848067,,,,
2024-03-04 00:00:00-05:00,175.3221528407019,176.0686281128373,172.9732433768994,174.277099609375,81510100,0.0,0.0,,,180.23056415484498,,179.29815961362885,179.9389415884965,-0.6407819748676502,-0.1638950272283146,,,,
2024-03-05 00:00:00-05:00,169.95748724050745,171.2314705105848,168.82284541599856,169.32049560546875,95132400,0.0,0.0,,,179.80271832937925,,177.7631343816042,179.15239003419816,-1.3892556525939597,-0.40896715230144365,,,,
2024-03-06 00:00:00-05:00,170.256065044738,170.43522699407845,167.88724549652,168.32518005371094,68587700,0.0,0.0,,,179.35261878915696,,176.31114140808216,178.350374480088,-2.0392330720058283,-0.7350203362423207,,,,
2024-03-07 00:00:00-05:00,168.35505375316498,169.92763018116116,167.6981670423948,168.2057647705078,71765100,0.0,0.0,,,178.91548725901387,,175.06416038691688,177.59892190900797,-2.534761522091088,-1.0949685734120742,,,,
2024-03-08 00:00:00-05:00,168.20576217934803,172.8836708711805,168.14604658720506,169.92762756347656,76114600,0.0,0.0,,,178.56302217291437,,174.27392456792606,177.03067788341306,-2.7567533154870034,-1.42732552182706,,,,
2024-03-11 00:00:00-04:00,172.12725037151972,173.56048535052068,171.2414336396481,171.93814086914062,60139500,0.0,0.0,,,178.3032229060997,,173.91457322965138,176.65345291939286,-2.7388796897414807,-1.6896363554099443,,,,
2024-03-12 00:00:00-04:00,172.3362371923594,173.2121062975323,170.20629520329734,172.41586303710938,59825400,0.0,0.0,,,178.07234604849225,,173.68400243079876,176.33955737255704,-2.6555549417582824,-1.882820072679612,,,,
2024-03-13 00:00:00-04:00,171.9580519129805,172.37607625258147,169.95748841772314,170.3257598876953,52488700,0.0,0.0,,,177.76855835591198,,173.1673497318598,175.8940908921969,-2.726741160337127,-2.051604290211115,,,,
